ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0001822620-25-000005,11,GA
0001822620-25-000005,13,ID
0001822620-25-000005,15,IN
0001822620-25-000005,17,KS
0001822620-25-000005,19,LA
0001822620-25-000005,21,MD
0001822620-25-000005,23,MI
0001822620-25-000005,25,MS
0001822620-25-000005,27,MT
0001822620-25-000005,29,NV
0001822620-25-000005,31,NJ
0001822620-25-000005,33,NY
0001822620-25-000005,35,ND
0001822620-25-000005,37,OK
0001822620-25-000005,39,PA
0001822620-25-000005,41,RI
0001822620-25-000005,43,SD
0001822620-25-000005,45,TX
0001822620-25-000005,47,VT
0001822620-25-000005,49,WA
0001822620-25-000005,51,WI
0001822620-25-000005,53,A0
0001822620-25-000005,55,A2
0001822620-25-000005,57,A4
0001822620-25-000005,59,A6
0001822620-25-000005,61,A8
0001822620-25-000005,63,B0
0001822620-25-000005,60,A7
0001822620-25-000005,62,A9
0001822620-25-000005,64,Z4
0001822620-25-000002,4,AR
0001822620-25-000002,6,CO
0001822620-25-000002,8,DE
0001822620-25-000002,10,FL
0001822620-25-000002,12,HI
0001822620-25-000002,14,IL
0001822620-25-000002,16,IA
0001822620-25-000002,18,KY
0001822620-25-000002,20,ME
0001822620-25-000002,22,MA
0001822620-25-000002,2,AK
0001822620-25-000002,24,MN
0001822620-25-000002,26,MO
0001822620-25-000002,28,NE
0001822620-25-000002,30,NH
0001822620-25-000002,32,NM
0001822620-25-000002,34,NC
0001822620-25-000002,36,OH
0001822620-25-000002,38,OR
0001822620-25-000002,40,PR
0001822620-25-000002,42,SC
0001822620-25-000002,44,TN
0001822620-25-000002,46,UT
0001822620-25-000002,48,VA
0001822620-25-000002,50,WV
0001822620-25-000002,52,WY
0001822620-25-000002,54,A1
0001822620-25-000002,56,A3
0001822620-25-000002,58,A5
0001822620-25-000002,60,A7
0001822620-25-000002,62,A9
0001822620-25-000002,64,Z4
0001822620-25-000005,2,AK
0001822620-25-000005,4,AR
0001822620-25-000005,6,CO
0001822620-25-000005,8,DE
0001822620-25-000005,10,FL
0001822620-25-000005,12,HI
0001822620-25-000005,14,IL
0001822620-25-000005,16,IA
0001822620-25-000005,18,KY
0001822620-25-000005,20,ME
0001822620-25-000005,22,MA
0001822620-25-000005,24,MN
0001822620-25-000005,26,MO
0001822620-25-000005,28,NE
0001822620-25-000005,30,NH
0001822620-25-000005,32,NM
0001822620-25-000005,34,NC
0001822620-25-000005,36,OH
0001822620-25-000005,38,OR
0001822620-25-000005,40,PR
0001822620-25-000005,42,SC
0001822620-25-000005,44,TN
0001822620-25-000005,46,UT
0001822620-25-000005,48,VA
0001822620-25-000005,50,WV
0001822620-25-000005,52,WY
0001822620-25-000005,54,A1
0001822620-25-000005,56,A3
0001822620-25-000005,58,A5
0002063604-25-000154,25,MS
0002063604-25-000154,27,MT
0002063604-25-000154,29,NV
0002063604-25-000154,31,NJ
0002063604-25-000154,33,NY
0002063604-25-000154,35,ND
0002063604-25-000154,37,OK
0002063604-25-000154,39,PA
0002063604-25-000154,41,RI
0002063604-25-000154,43,SD
0002063604-25-000154,45,TX
0002063604-25-000154,47,VT
0002063604-25-000154,49,WA
